id,goals,totalShots,onTargetScoringAttempt,shotOffTarget,totalContest,wonContest,wasFouled,fouls,keyPass,goalAssist,bigChanceCreated,bigChanceMissed,totalCross,accurateCross,totalPass,accuratePass,touches,duelWon,duelLost,hitWoodwork,minutesPlayed,name,world_cups_played,first_world_cup,last_world_cup,matches_played
1422102,1.0,7,1.0,4.0,0.0,0.0,4.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,292.0,243.0,421.0,44.0,19.0,0.0,630.0,Thomas Linke,1,2002,2002,7
1422103,0.0,3,0.0,3.0,2.0,2.0,26.0,23.0,2.0,0.0,0.0,1.0,2.0,0.0,368.0,322.0,571.0,95.0,45.0,0.0,1200.0,Christoph Metzelder,2,2002,2006,13
1422107,1.0,7,3.0,3.0,4.0,0.0,5.0,3.0,4.0,0.0,0.0,0.0,8.0,1.0,75.0,53.0,152.0,17.0,19.0,0.0,324.0,Marco Bode,1,2002,2002,6
1422114,2.0,16,7.0,6.0,7.0,2.0,16.0,11.0,18.0,1.0,4.0,2.0,30.0,10.0,122.0,107.0,241.0,24.0,35.0,1.0,504.0,Oliver Neuville,2,2002,2006,13
1422116,0.0,1,0.0,1.0,1.0,1.0,6.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,92.0,80.0,125.0,18.0,11.0,0.0,180.0,Abdullah Al-Waked Al-Shahrani,1,2002,2002,2
1422117,0.0,3,1.0,1.0,7.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,50.0,41.0,80.0,8.0,16.0,0.0,222.0,Al Hassan Al-Yami,1,2002,2002,3
1422120,0.0,1,0.0,0.0,0.0,0.0,4.0,5.0,3.0,0.0,0.0,0.0,1.0,1.0,73.0,61.0,104.0,14.0,13.0,0.0,180.0,Omar Al-Ghamdi,1,2006,2006,2
1422122,0.0,0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,56.0,100.0,8.0,3.0,0.0,180.0,Fouzi Al Shehri,1,2002,2002,2
1422123,0.0,4,1.0,2.0,13.0,5.0,10.0,3.0,2.0,0.0,0.0,0.0,7.0,1.0,171.0,127.0,242.0,24.0,23.0,0.0,323.0,Abdulaziz Al Khathran,2,2002,2006,5
1422125,0.0,4,0.0,3.0,5.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,13.0,33.0,4.0,5.0,0.0,53.0,Abdullah Jumaa Al Dossary,1,2002,2002,3
